n,dataset,algo,time_s_avg
2000,random,insertion,0.06673
2000,random,merge,0.002783
2000,random,timsort,0.000152
2000,sorted,insertion,0.000151
2000,sorted,merge,0.001824
2000,sorted,timsort,9e-06
2000,reversed,insertion,0.131847
2000,reversed,merge,0.001889
2000,reversed,timsort,1e-05
2000,nearly_sorted,insertion,0.002245
2000,nearly_sorted,merge,0.002165
2000,nearly_sorted,timsort,3.5e-05
5000,random,insertion,0.436115
5000,random,merge,0.007715
5000,random,timsort,0.000395
5000,sorted,insertion,0.00039
5000,sorted,merge,0.005128
5000,sorted,timsort,2.4e-05
5000,reversed,insertion,0.845961
5000,reversed,merge,0.005225
5000,reversed,timsort,2.4e-05
5000,nearly_sorted,insertion,0.012303
5000,nearly_sorted,merge,0.006649
5000,nearly_sorted,timsort,6.7e-05
10000,random,insertion,1.795468
10000,random,merge,0.017625
10000,random,timsort,0.000866
10000,sorted,insertion,0.000777
10000,sorted,merge,0.010619
10000,sorted,timsort,4.1e-05
10000,reversed,insertion,3.588992
10000,reversed,merge,0.011549
10000,reversed,timsort,4.5e-05
10000,nearly_sorted,insertion,0.049482
10000,nearly_sorted,merge,0.014092
10000,nearly_sorted,timsort,0.000141
